step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
228,2.28,5.81099,-0.350384,5.78052,-0.324709,-0.561817
229,2.29,5.74847,-0.301502,5.77735,-0.327629,-0.561353
230,2.3,5.80616,-0.315171,5.77438,-0.331478,-0.560864
231,2.31,5.75929,-0.351043,5.77085,-0.33843,-0.560163
232,2.32,5.81449,-0.342328,5.76771,-0.343802,-0.559581
233,2.33,5.67004,-0.347335,5.76375,-0.349338,-0.558908
234,2.34,5.66428,-0.356982,5.75969,-0.35526,-0.558206
235,2.35,5.71611,-0.360075,5.75589,-0.360827,-0.557548
236,2.36,5.78099,-0.386846,5.75223,-0.368304,-0.556808
237,2.37,5.81685,-0.384737,5.74879,-0.374807,-0.556139
238,2.38,5.73312,-0.367683,5.74506,-0.379179,-0.555547
239,2.39,5.82383,-0.410053,5.74146,-0.387022,-0.554795
240,2.4,5.71916,-0.405545,5.73735,-0.39383,-0.554043
241,2.41,5.70901,-0.396803,5.73327,-0.399162,-0.553369
242,2.42,5.75562,-0.410717,5.72934,-0.40523,-0.552673
243,2.43,5.65385,-0.440633,5.72461,-0.413699,-0.551776
244,2.44,5.72366,-0.409752,5.72055,-0.418313,-0.551139
245,2.45,5.75614,-0.401042,5.71675,-0.421601,-0.550595
246,2.46,5.7886,-0.447284,5.71273,-0.428915,-0.549827
247,2.47,5.77378,-0.429267,5.70881,-0.43383,-0.549189
248,2.48,5.71195,-0.443943,5.70444,-0.43975,-0.548456
249,2.49,5.64522,-0.42671,5.69989,-0.443553,-0.547812
250,2.5,5.72276,-0.411991,5.69591,-0.445471,-0.547317
251,2.51,5.67926,-0.464194,5.69124,-0.452221,-0.546513
252,2.52,5.56799,-0.429403,5.68633,-0.455169,-0.545874
253,2.53,5.64424,-0.522156,5.681,-0.46653,-0.544773
254,2.54,5.63782,-0.483572,5.676,-0.473136,-0.543943
255,2.55,5.75743,-0.507719,5.67143,-0.481221,-0.543082
256,2.56,5.71023,-0.52188,5.6665,-0.489937,-0.542153
257,2.57,5.73337,-0.488812,5.662,-0.494633,-0.541468
258,2.58,5.64319,-0.515031,5.65682,-0.501492,-0.540607
259,2.59,5.60373,-0.50915,5.65151,-0.507181,-0.539792
260,2.6,5.57849,-0.454315,5.64659,-0.507139,-0.539302
261,2.61,5.65395,-0.502457,5.64164,-0.511556,-0.538587
262,2.62,5.61741,-0.461882,5.6369,-0.511736,-0.538103
263,2.63,5.65158,-0.50213,5.63199,-0.515664,-0.537416
264,2.64,5.673,-0.500998,5.62723,-0.519067,-0.536769
265,2.65,5.64623,-0.546608,5.62193,-0.526507,-0.535868
266,2.66,5.67836,-0.505574,5.61719,-0.529277,-0.535255
267,2.67,5.50609,-0.510775,5.61155,-0.532515,-0.534529
268,2.68,5.60154,-0.551927,5.60605,-0.539204,-0.533645
269,2.69,5.5856,-0.576045,5.60027,-0.547557,-0.532649
270,2.7,5.55595,-0.560137,5.59451,-0.553629,-0.531769
271,2.71,5.65878,-0.578468,5.58912,-0.560701,-0.530877
272,2.72,5.61883,-0.581699,5.58352,-0.56745,-0.529979
273,2.73,5.48559,-0.571826,5.57737,-0.572796,-0.529097
274,2.74,5.57937,-0.554474,5.57186,-0.575831,-0.528395
